"filename", "language", "Markdown", "Properties", "JavaScript", "XML", "JavaScript JSX", "CSS", "TypeScript JSX", "JSON", "HTML", "comment", "blank", "total"
"d:\personal-project\frontend\src\components\dialog\UpdateProfileSucessDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"d:\personal-project\frontend\src\components\homepage\HomePagePanel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 5, 103
"d:\personal-project\frontend\src\components\hooks\useWindowWidth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 6, 22
"d:\personal-project\frontend\src\components\loginpage\LoginPanel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 3, 9, 160
"d:\personal-project\frontend\src\components\loginpage\RegisterPanel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 12, 7, 186
"d:\personal-project\frontend\src\components\notificationPage\NotificationDetail\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 10, 129
"d:\personal-project\frontend\src\components\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 11, 35
"d:\personal-project\frontend\src\components\pages\JobList.jsx", "JavaScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 9, 106
"d:\personal-project\frontend\src\components\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\personal-project\frontend\src\components\pages\MyHomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 0, 2, 13, 151
"d:\personal-project\frontend\src\components\pages\NotificationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 113, 0, 0, 0, 0, 1, 12, 126
"d:\personal-project\frontend\src\components\pages\PartnerList.jsx", "JavaScript JSX", 0, 0, 0, 0, 299, 0, 0, 0, 0, 3, 20, 322
"d:\personal-project\frontend\src\components\pages\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 173, 0, 0, 0, 0, 1, 18, 192
"d:\personal-project\frontend\src\components\pages\ProjectDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 12, 168
"d:\personal-project\frontend\src\components\pages\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\personal-project\frontend\src\components\pages\SelfProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 19, 185
"d:\personal-project\frontend\src\contexts\UserContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 8, 30
"d:\personal-project\frontend\src\data\data.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\personal-project\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 68, 3, 77
"d:\personal-project\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 2, 11
"d:\personal-project\frontend\src\theme\lowerCaseTheme.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\personal-project\frontend\src\utils\Apis.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 5, 68
"d:\personal-project\frontend\src\utils\UserAuthInitializer.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"d:\personal-project\frontend\tailwind.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\personal-project\frontend\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 6, 15, 1039, 2, 2970, 6, 15, 8322, 13, 396, 558, 13342
